record_id,type_of_reference,doi,authors,title,journal_name,date,publisher,abstract,keywords,issn,year,urls,asreview_prior,exported_notes_1,included,asreview_ranking
38,JOUR,10.1145/3715700,"['Yang, Yihong', 'Zhou, Zhangbing', 'Shu, Lei', 'Zhou, Feng', 'Gaaloul, Walid', 'Khan, Arif Ali']",Web 3.0-Enabled Microservice Re-Scheduling for Heterogenous Resources Co-Optimization in Metaverse-Integrated Edge Networks,ACM Trans. Auton. Adapt. Syst.,2025-01,,"The Web 3.0 and metaverse can empower intelligent application of Connected Autonomous Vehicles (CAVs). The adoption of edge computing can contribute to the low latency interaction between CAVs and the metaverse. Microservices are widely deployed on edge networks and the cloud nowadays. User's requests from CAVs are typically fulfilled through the composition of microservices, which may be hosted by contiguous edge nodes. Requests may differ on their required resources at runtime. Consequently, when requests are continuously injected into edge networks, the usage of heterogenous resources, including CPU, memory, and network bandwidth, may not be the same, or differ significantly, on certain edge nodes. This happens especially when burst requests are injected into the network to be satisfied concurrently. Therefore, the usage of heterogenous resources provided by edge nodes should be co-optimized through re-scheduling microservices. To address this challenge, this paper proposes a Web 3.0-enabled Microservice Re-Scheduling approach (called MRS), which is a migration-based mechanism integrating a placement strategy. Specifically, we formulate the microservice re-scheduling task as a multi-objective and multi-constraint optimization problem, which can be solved through a penalty signal-integrated framework and an improved pointer network. Extensive experiments are conducted on two real-world datasets. Evaluation results show that our MRS performs better than the counterparts with improvements of at least 7.7%, 2.4% and 2.2% in terms of network throughput, latency and energy consumption.","['Connected Autonomous Vehicles (CAVs)', 'Heterogenous Resources Co-Optimization', 'Metaverse', 'Microservice Re-Scheduling', 'Web 3.0']",1556-4665,,['https://doi.org/10.1145/3715700'],1,,1,1
22,JOUR,10.3390/s23167142,"['Ashraf M.', 'Shiraz M.', 'Abbasi A.', 'Alqahtani O.', 'Badshah G.', 'Lasisi A.']",Microservice Application Scheduling in Multi-Tiered Fog-Computing-Enabled IoT,Sensors,,,"Fog computing extends mobile cloud computing facilities at the network edge, yielding low-latency application execution. To supplement cloud services, computationally intensive applications can be distributed on resource-constrained mobile devices by leveraging underutilized nearby resources to meet the latency and bandwidth requirements of application execution. Building upon this premise, it is necessary to investigate idle or underutilized resources that are present at the edge of the network. The utilization of a microservice architecture in IoT application development, with its increased granularity in service breakdown, provides opportunities for improved scalability, maintainability, and extensibility. In this research, the proposed schedule tackles the latency requirements of applications by identifying suitable upward migration of microservices within a multi-tiered fog computing infrastructure. This approach enables optimal utilization of network edge resources. Experimental validation is performed using the iFogSim2 simulator and the results are compared with existing baselines. The results demonstrate that compared to the edgewards approach, our proposed technique significantly improves the latency requirements of application execution, network usage, and energy consumption by 66.92%, 69.83%, and 4.16%, respectively. © 2023 by the authors.","['constrained devices', 'distributed application execution', 'fog computing', 'Internet of Things', 'microservice application scheduling', 'service delay', 'Energy utilization', 'Fog', 'Internet of things', 'Mobile cloud computing', 'Application execution', 'Application scheduling', 'Computing facilities', 'Constrained devices', 'Distributed application executions', 'Low latency', 'Microservice application scheduling', 'Multi-tiered', 'Network edges', 'Service delays', 'Fog computing']",,2023,,0,"IC7,IC8,IC9",1,2
95,JOUR,10.1002/spe.3217,"['Wu J.', 'Zhang J.', 'Zhang Y.', 'Wen Y.']",Constraint-aware and multi-objective optimization for micro-service composition in mobile edge computing,Software - Practice and Experience,,,"As a new paradigm of distributed computing, mobile edge computing (MEC) has gained increasing attention due to its ability to expand the capabilities of centralized cloud computing. In MEC environments, a software application typically consists of multiple micro-services, which can be composed together in a flexible manner to achieve various user requests. However, the composition of micro-services in MEC is still a challenging research issue arising from three aspects. Firstly, composite micro-services constructed by ignoring the processing capabilities of different micro-services may cause waste of edge resources. Secondly, edge servers' limitations in terms of computational power can easily cause service occupancy between composite micro-services, severely affecting the user experience. Thirdly, in dynamic and unstable mobile environments, different edge users have different sensitivities to request latency, which increases the complexity of micro-service composition. In order to improve edge resource utilization and user experience on micro-service invocations, in this paper, we comprehensively consider the above three factors, and we first model the micro-services composition problem in MEC as a constrained multi-objective optimization problem. Then, a micro-service composition optimization method M3C combining graph search and branch-and-bound strategy is proposed to find a composition solution set with low energy consumption and high success rate for multiple edge users. Finally, we perform a series of experiments on two widely used datasets. Experimental results show that our proposed approach significantly outperforms the four competing baseline approaches, and that it is sufficiently efficient for practical deployment. © 2023 John Wiley & Sons Ltd.","['micro-service composition', 'micro-services', 'mobile edge computing', 'multi-objective optimization', 'Application programs', 'Branch and bound method', 'Constrained optimization', 'Energy utilization', 'Mobile edge computing', 'Quality of service', 'Centralised', 'Cloud-computing', 'Computing environments', 'Edge resources', 'Micro services', 'Micro-service composition', 'Multi-objectives optimization', 'Services composition', ""Users' experiences"", 'Multiobjective optimization']",,2024,,0,IC6,1,3
83,JOUR,10.1109/GLOBECOM38437.2019.9014114,"['J. Gedeon', 'M. Wagner', 'J. Heuschkel', 'L. Wang', 'M. Muhlhauser']",A Microservice Store for Efficient Edge Offloading,2019 IEEE Global Communications Conference (GLOBECOM),27-Feb-20,IEEE,"Current edge computing frameworks require tight coupling between mobile clients and surrogates, i.e., the offloaded code has been preconfigured with its required execution environment. In many cases, this includes prior transfers of code blocks or execution environments from mobile devices to the offloading infrastructure. This approach incurs additional latency and is detrimental for the energy consumption of the mobile devices. In this paper, we propose the concept of a microservice store. Using the microservice abstraction common in software development and following the serverless paradigm, we envision a repository through which said services are made accessible to developers and can be re-used across applications. We implement a proof-of-concept edge computing system based on a microservice repository and demonstrate its benefits with real-world applications on mobile devices. Our results show that we were able to reduce latencies by up to 14x and save up to 94% of battery life.","['Edge computing', 'Object detection', 'Mobile handsets', 'Containers', 'Semantics', 'Cloud computing', 'Image edge detection']",2576-6813,,,0,IC9,1,4
4,JOUR,10.1109/TITS.2023.3274307,"['L. Wang', 'X. Deng', 'J. Gui', 'X. Chen', 'S. Wan']",Microservice-Oriented Service Placement for Mobile Edge Computing in Sustainable Internet of Vehicles,IEEE Transactions on Intelligent Transportation Systems,17-May-23,IEEE,"The integration of Mobile Edge Computing (MEC) and microservice architecture drives the implementation of the sustainable Internet of Vehicles (IoV). The microservice architecture enables the decomposition of a service into multiple independent, fine-grained microservices working independently. With MEC, microservices can be placed on Edge Service Providers (ESPs) dynamically, responding quickly and reducing service latency and resource consumption. However, the burgeoning of IoV leads to high computation and resource overheads, making service resource requirements an imminent issue. What’s more, due to the limited computation power of ESPs, they can only host a few services. Therefore, ESPs should judiciously decide which services to host. In this paper, we propose a Microservice-oriented Service Placement (MOSP) mechanism for MEC-enabled IoV to shorten service latency, reduce high resource consumption levels and guarantee long-term sustainability. Specifically, we formulate the service placement as an integer linear programming program, where service placement decisions are collaboratively optimized among ESPs, aiming to address spatial demand coupling, service heterogeneity, and decentralized coordination in MEC systems. MOSP comprises an upper layer to map the service requests to ESPs and a lower layer to adjust the service placement of ESPs. Evaluation results show that the microservice-oriented service deployment mechanism offers dramatic improvements in terms of resource savings, latency reduction, and service speed.","['Mobile edge computing', 'microservice', 'Internet of Vehicles', 'service placement', 'Microservice architectures', 'Servers', 'Cloud computing', 'Quality of service', 'Costs', 'Multi-access edge computing', 'Memory management']",1558-0016,,,0,IC9,1,5
12,JOUR,10.1109/ACCESS.2024.3461149,"['K. Afachao', 'A. M. Abu-Mahfouz', 'G. P. Hanke']",Efficient Microservice Deployment in the Edge-Cloud Networks With Policy-Gradient Reinforcement Learning,IEEE Access,16-Sep-24,IEEE,"The rise of user-centric design demands ubiquitous access to infrastructure and applications, facilitated by the Edge-Cloud network and microservices. However, efficiently managing resource allocation while orchestrating microservice placement in such dynamic environments presents a significant challenge. These challenges stem from the limited resources of edge devices, the need for low latency responses, and the potential for performance degradation due to service failures or inefficient deployments. This paper addresses the challenge of microservice placement in Edge-Cloud environments by proposing a novel Reinforcement Learning algorithm called Bi-Generic Advantage Actor-Critic for Microservice Placement Policy. This algorithm’s ability to learn and adapt to the dynamic environment makes it well-suited for optimizing resource allocation and service placement decisions within the Edge-Cloud. We compare this algorithm against three baseline algorithms through simulations on a real-world dataset, evaluating performance metrics such as execution time, network usage, average migration delay, and energy consumption. The results demonstrate the superiority of the proposed method, with an 8% reduction in execution time, translating to faster response times for users. Additionally, it achieves a 4% decrease in network usage and a 2% decrease in energy consumption compared to the best-performing baseline. This research contributes by reproducing the Edge-Cloud environment, applying the novel Bi-Generic Advantage Actor-Critic technique, and demonstrating significant improvements over the state-of-the-art baseline algorithms in microservice placement and resource management within Edge-Cloud environments.","['Edge computing', 'microservices', 'network optimization', 'online placement', 'scheduling algorithms', 'reinforcement learning', 'Microservice architectures', 'Heuristic algorithms', 'Reliability', 'Optimization methods', 'Resource management', 'Containers', 'Edge computing', 'Scheduling', 'User centered design', 'Reinforcement learning']",2169-3536,,,0,IC8,1,6
11,JOUR,10.1016/j.jnca.2019.102441,"['Yu Y.', 'Yang J.', 'Guo C.', 'Zheng H.', 'He J.']",Joint optimization of service request routing and instance placement in the microservice system,Journal of Network and Computer Applications,,,"Microservice architecture is a promising architectural style. It decomposes monolithic software into a set of loosely coupled containerized microservices and associates them into multiple microservice chains to serve service requests. The new architecture creates flexibility for service provisioning but also introduces increased energy consumption and low service performance. Efficient resource allocation is critical. Unfortunately, existing solutions are designed at a coarse level for virtual machine (VM)-based clouds and not optimized for such chain-oriented service provisioning. In this paper, we study the resource allocation optimization problem for service request routing and microservice instance placement, so as to jointly reduce both resource usage and chains’ end-to-end response time for saving energy and guaranteeing Quality of Service (QoS). We design detailed workload models for microservices and chains and formulate the optimization problem as a bi-criteria optimization problem. To address it, a three-stage scheme is proposed to search and optimize the trade-off decisions, route service requests into instances and deploy instances to servers in a balanced manner. Through numerical evaluations, we show that while assuring the same QoS, our scheme performs significantly better than and faster than benchmarking algorithms on reducing energy consumption and balancing load. © 2019","['Bi-criteria optimization', 'Energy consumption', 'Load balance', 'Microservice', 'Microservice chain', 'QoS', 'Balancing', 'Economic and social effects', 'Energy utilization', 'Optimization', 'Resource allocation', 'Benchmarking algorithm', 'Bicriteria optimization', 'Efficient resource allocation', 'End-to-end response time', 'Load balance', 'Microservice', 'Reducing energy consumption', 'Resource allocation optimization', 'Quality of service']",,2019,,0,IC7,1,7
13,JOUR,10.1109/TC.2025.3535826,"['Wang L.', 'Liu X.', 'Ding H.', 'Hu Y.', 'Peng K.', 'Hu M.']",Energy-Delay-Aware Joint Microservice Deployment and Request Routing with DVFS in Edge: A Reinforcement Learning Approach,IEEE Transactions on Computers,,,"The emerging microservice architecture offers opportunities for accommodating delay-sensitive applications in edge. However, such applications are computation-intensive and energy-consuming, imposing great difficulties to edge servers with limited computing resources, energy supply, and cooling capabilities. To reduce delay and energy consumption in edge, efficient microservice orchestration is necessary, but significantly challenging. Due to frequent communications among multiple microservices, service deployment and request routing are tightly-coupled, which motivates a complex joint optimization problem. When considering multi-instance modeling and fine-grained orchestration for massive microservices, the difficulty is extremely enlarged. Nevertheless, previous work failed to address the above difficulties. Also, they neglected to balance delay and energy, especially lacking dynamic energy-saving abilities. Therefore, this paper minimizes energy and delay by jointly optimizing microservice deployment and request routing via multi-instance modeling, fine-grained orchestration, and dynamic adaptation. Our queuing network model enables accurate end-to-end time analysis covering queuing, computing, and communicating delays. We then propose a delay-aware reinforcement learning algorithm, which derives the static service deployment and routing decisions. Moreover, we design an energy-aware dynamic frequency scaling algorithm, which saves energy with fluctuating request patterns. Experiment results demonstrate that our approaches significantly outperform baseline algorithms in both delay and energy consumption.  © 1968-2012 IEEE.","['dynamic voltage frequency scaling', 'Edge computing', 'queuing theory', 'reinforcement learning', 'service orchestration', 'Delay tolerant networks', 'Delay-sensitive applications', 'Dynamic frequency scaling', 'Edge computing', 'Energy efficiency', 'Energy utilization', 'Finite automata', 'Learning algorithms', 'Queueing networks', 'Reinforcement learning', 'Voltage scaling', 'Delay aware', 'Dynamic voltage', 'Dynamic voltage frequency scaling', 'Edge computing', 'Frequency-scaling', 'Queuing theory', 'Reinforcement learnings', 'Routings', 'Service orchestration', 'Voltage frequency', 'Queueing theory']",,2025,,0,IC9,1,8
17,JOUR,10.1109/JIOT.2022.3155598,"['Yu Y.', 'Liu J.', 'Fang J.']",Online Microservice Orchestration for IoT via Multiobjective Deep Reinforcement Learning,IEEE Internet of Things Journal,,,"By providing loosely coupled, lightweight, and independent services, the microservice architecture is promising for large-scale and complex service provision requirements in the Internet of Things (IoT). However, it requires more fine-grained resource management and orchestration for service provision. Most of the existing microservice orchestration solutions are based on those designed for the traditional cloud. They can only provide coarse-grained resource allocation using possibly conflicting weighted objectives. In this article, we present a fine-grained microservice orchestration approach to provide services online for dynamic requests of IoT applications. By using a fine-grained resource model of energy cost and service end-to-end response time of orchestrated microservices, we formulate the microservice orchestration problem as a multiobjective Markov decision process. We then propose a multiobjective optimization solution based on deep reinforcement learning (DRL) to simultaneously reduce energy consumption and response time. Through extensive experiments, our proposed algorithm presents significant performance results than the state of the art. To the best of our knowledge, this is the first work that addresses microservice orchestration using DRL for multiple conflicting objectives.  © 2014 IEEE.","['Deep reinforcement learning (DRL)', 'energy consumption, Internet of Things (IoT)', 'online microservice orchestration', 'Quality-of-Service (QoS) assurance', 'Deep learning', 'Internet of things', 'Markov processes', 'Multiobjective optimization', 'Natural resources management', 'Quality of service', 'Reinforcement learning', 'Resource allocation', 'Deep reinforcement learning', 'Energy-consumption', 'Fine grained', 'Microservice architecture', 'Multi objective', 'Online microservice orchestration', 'QoS assurance.', 'Quality-of-service', 'Reinforcement learnings', 'Resource management', 'Energy utilization']",,2022,,0,IC9,1,9
19,JOUR,10.1109/TNSM.2024.3497155,"['Adeppady M.', 'Conte A.', 'Giaccone P.', 'Karl H.', 'Chiasserini C.F.']",Dynamic Management of Constrained Computing Resources for Serverless Services,IEEE Transactions on Network and Service Management,,,"In resource-constrained cloud systems, e.g., at the network edge or in private clouds, serverless computing is increasingly adopted to deploy microservices-based applications, leveraging its promised high resource efficiency. Provisioning resources to serverless services, however, poses several challenges, due to the high cold-start latency of containers and stringent Service Level Agreement (SLA) requirements of the microservices. In response, we investigate the behavior of containers in different states (i.e., running, warm, or cold) and exploit our experimental observations to formulate an optimization problem that minimizes the energy consumption of the active servers while reducing SLA violations. In light of the problem complexity, we propose a low-complexity algorithm, named AiW, which utilizes a multi-queueing approach to balance energy consumption and system performance by reusing containers effectively and invoking cold-starts only when necessary. To further minimize the energy consumption of data centers, we introduce the two-timescale COmputing resource Management at the Edge (COME) framework, comprising an orchestrator running our proposed AiW algorithm for container provisioning and Dynamic Server Provisioner (DSP) for dynamically activating/deactivating servers in response to AiW's decisions on request scheduling. COME addresses the mismatch in timescales for resource provisioning decisions at the container and server levels. Extensive performance evaluation through simulation shows AiW's close match to the optimum and COME's significant reduction in power consumption by 22-64% compared state-of-the-art alternatives. © 2004-2012 IEEE.","['Cloud Computing Services', 'Edge Computing', 'Energy-aware Management', 'Orchestration', 'Edge computing', 'Energy utilization', 'Information management', 'Cloud computing services', 'Cold-start', 'Dynamic management', 'Edge computing', 'Energy aware', 'Energy-aware management', 'Energy-consumption', 'Orchestration', 'Servicelevel agreement (SLA)', 'Time-scales', 'Cloud platforms']",,2024,,0,IC9,1,10
