DOI,record_id,Author,Title,Publication Title,ISBN,ISSN,Url,Date,Series,Series Number,Series Text,Series Title,Publisher,Place,Abstract,ISBNs,Funding Information,PDF Link,Author Keywords,Mesh_Terms,Article Citation Count,Patent Citation Count,Reference Count,License,Issue Date,Meeting Date,Author full names,Author(s) ID,Year,Source title,Art. No.,Page start,Page end,Page count,Cited by,Link,Publication Stage,Open Access,Source,EID,Keywords,asreview_prior,exported_notes_1,asreview_ranking
10.1002/dac.5296,2516,Chaudhary R.; Aujla G.S.; Kumar N.; Chouhan P.K.,A comprehensive survey on software-defined networking for smart communities,,,,,,,,,,,,"The need to provide services closer to the end-user proximity leads to the exchange of a large volume of data generated from the smart devices deployed at different geo-distributed sites. The massive amount of data generated from the smart devices need to be transmitted, analyzed, and processed. This requires seamless data exchanges among geo-separated nodes, which results in a considerable burden on the underlying network infrastructure and can degrade the performance of any implemented solution. Therefore, a dynamic, agile, and programmable network management paradigm is required. To handle the challenges mentioned above, software-defined networking (SDN) gained much attention from academia, researchers, and industrial sectors. Shifting the computational load from forwarding devices to a logically centralized controller is a dream of every network operator who wants to have complete control and global visibility of the network. Also, the concept of network functions virtualization (NFV) in SDN controller is required to increase resource utilization efficiency. Thus, in this paper, a comprehensive survey on SDN for various smart applications is presented. This survey covers the infrastructural details of SDN hardware and OpenFlow switches, controllers, simulation tools, programming languages, open issues, and challenges in SDN implementation with advanced technologies such as 5G and microservices. In addition, the challenges on the control plane and data plane are highlighted in detail, such as fault tolerance, routing, scheduling of flows, and energy consumption on OpenFlow switches. Finally, various open issues and challenges future scope of SDN are discussed and analyzed in the proposal. © 2022 The Authors. International Journal of Communication Systems published by John Wiley & Sons Ltd.",,,,data center networks; edge computing; fog computing; healthcare ecosystem; internet of things; network functions virtualization; software-defined networking,,,,,,,,"Chaudhary, Rajat (57195682519); Aujla, Gagangeet Singh (56218282200); Kumar, Neeraj (57206866080); Chouhan, Pushpinder Kaur (8432808800)",57195682519; 56218282200; 57206866080; 8432808800,2025,International Journal of Communication Systems,e5296,,,,11,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85134185071&doi=10.1002%2fdac.5296&partnerID=40&md5=5d4d5855a7667b026c48cbf69ff3ab39,Final,All Open Access; Green Open Access,Scopus,2-s2.0-85134185071,5G mobile communication systems; Controllers; Edge computing; Electronic data interchange; Energy utilization; Fault tolerance; Fog computing; Internet of things; Network function virtualization; Surveys; Transfer functions; Virtual reality; Communications systems; Data center networks; Edge computing; Healthcare ecosystem; International journals; Issues and challenges; Openflow switches; Smart community; Smart devices; Software-defined networkings; Software defined networking,0,IC4,77
10.1002/spe.3217,2577,Wu J.; Zhang J.; Zhang Y.; Wen Y.,Constraint-aware and multi-objective optimization for micro-service composition in mobile edge computing,,,,,,,,,,,,"As a new paradigm of distributed computing, mobile edge computing (MEC) has gained increasing attention due to its ability to expand the capabilities of centralized cloud computing. In MEC environments, a software application typically consists of multiple micro-services, which can be composed together in a flexible manner to achieve various user requests. However, the composition of micro-services in MEC is still a challenging research issue arising from three aspects. Firstly, composite micro-services constructed by ignoring the processing capabilities of different micro-services may cause waste of edge resources. Secondly, edge servers' limitations in terms of computational power can easily cause service occupancy between composite micro-services, severely affecting the user experience. Thirdly, in dynamic and unstable mobile environments, different edge users have different sensitivities to request latency, which increases the complexity of micro-service composition. In order to improve edge resource utilization and user experience on micro-service invocations, in this paper, we comprehensively consider the above three factors, and we first model the micro-services composition problem in MEC as a constrained multi-objective optimization problem. Then, a micro-service composition optimization method M3C combining graph search and branch-and-bound strategy is proposed to find a composition solution set with low energy consumption and high success rate for multiple edge users. Finally, we perform a series of experiments on two widely used datasets. Experimental results show that our proposed approach significantly outperforms the four competing baseline approaches, and that it is sufficiently efficient for practical deployment. © 2023 John Wiley & Sons Ltd.",,,,micro-service composition; micro-services; mobile edge computing; multi-objective optimization,,,,,,,,"Wu, Jintao (57188570943); Zhang, Jingyi (57215070911); Zhang, Yiwen (38863602600); Wen, Yiping (24451504400)",57188570943; 57215070911; 38863602600; 24451504400,2024,Software - Practice and Experience,,1596,1620,24,5,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85159077377&doi=10.1002%2fspe.3217&partnerID=40&md5=e55bd825337409e2597a6046f99a32d2,Final,,Scopus,2-s2.0-85159077377,Application programs; Branch and bound method; Constrained optimization; Energy utilization; Mobile edge computing; Quality of service; Centralised; Cloud-computing; Computing environments; Edge resources; Micro services; Micro-service composition; Multi-objectives optimization; Services composition; Users' experiences; Multiobjective optimization,0,IC4,63
10.1007/978-3-030-26633-2_5,3136,Stan O.; Zayani M.-H.; Sirdey R.; Ben Hamida A.; Mziou-Sallami M.; Ferreira Leite A.,A SaaS implementation of a new generic crypto-classifier service for secure energy efficiency in smart cities,,,,,,,,,,,,"More and more, accessing data remotely in a secure manner appears like the backbone for providing new advanced and customized functionalities. The proliferation of social media and domotics urges a new kind of ubiquity where different kinds of features are deployed everywhere atop of the everyday life small devices and even embedded in our surroundings. While we measure the opportunities offered by such advancements in improving people lifestyles and obtaining immediate and useful services, it is necessary to consider the real impact on our privacy. Recently, a newly adopted European standard, the General Data Protection Regulation aims at codifying the rules of personal data use. We strongly believe in the necessity for a Smart City of adopting such privacy regulation while benefiting at the same time from new services, in a generic and easy way. In that sense, we build an approach that is at the frontier of the cryptoscience domain for a better privacy and the Micro Service-Oriented Architectures for an increased use by tiers. Indeed, our service is accessible in a Software-as-a-Service (SaaS) manner and uses encryption to ensure data privacy. The particularity of our system lies in the fact that the server performs a classification algorithm without any information about the sensitive data and without the capability to decrypt it. The underlying cryptographic technology used is homomorphic encryption, allowing to perform calculations directly on encrypted data. Our service is generic by design and could be applied over several metrics. We adopt an energy efficiency use case and propose a service for buildings energy diagnosis and classification towards renovations and/or reductions of the electric consumption. We showcase our prototype of crypto-classification service by involving different actors of a Smart City community. Finally, we assess our proposal thanks to a set of real data collected from an Irish residential district. Our SaaS crypto-classifier achieves acceptable performances in terms of security, execution times and memory requirements. © Springer Nature Switzerland AG 2019.",,,,Data privacy; Homomorphic encryption; Secure classification; Smart city,,,,,,,,"Stan, Oana (55554682500); Zayani, Mohamed-Haykel (55322962000); Sirdey, Renaud (16480839400); Ben Hamida, Amira (15755215300); Mziou-Sallami, Mallek (57203505421); Ferreira Leite, Alessandro (57210433002)",55554682500; 55322962000; 16480839400; 15755215300; 57203505421; 57210433002,2019,Communications in Computer and Information Science,,90,115,25,0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85070725063&doi=10.1007%2f978-3-030-26633-2_5&partnerID=40&md5=e927b4fd36b928c2501d5226b71653e6,Final,,Scopus,2-s2.0-85070725063,Classification (of information); Computer aided diagnosis; Cryptography; Data privacy; Energy efficiency; Green computing; Information services; Intelligent systems; Intelligent vehicle highway systems; Service oriented architecture (SOA); Smart city; Traffic control; Acceptable performance; Classification algorithm; Electric consumption; European Standards; General data protection regulations; Ho-momorphic encryptions; Memory requirements; Residential districts; Software as a service (SaaS),0,EC3,2146
10.1007/978-3-030-59824-2_2,100,"Kaneko, Yu; Yokoyama, Yuhei; Monma, Nobuyuki; Terashima, Yoshiki; Teramoto, Keiichi; Kishimoto, Takuya; Saito, Takeshi",A Microservice-Based Industrial Control System Architecture Using Cloud and&nbsp;MEC,"Edge Computing – EDGE 2020: 4th International Conference, Held as Part of the Services Conference Federation, SCF 2020, Honolulu, HI, USA, September 18-20, 2020, Proceedings",978-3-030-59823-5,,https://doi.org/10.1007/978-3-030-59824-2_2,2020,,,,,Springer-Verlag,"Berlin, Heidelberg","Cloud computing has been adapted for various application areas. Several research projects are underway to migrate Industrial Control Systems (ICSs) to the public cloud. Some functions of ICSs require real-time processing that is difficult to migrate to the public cloud because network latency of the internet is unpredictable. Fog computing is a new computing paradigm that could address this latency issue. In particular, Multi-access Edge Computing (MEC) is a fog computing environment integrated with the 5G network, and therefore the real-time processing requirement of ICSs could be satisfied by using MEC. In this paper, we propose a microservice-based ICS architecture using the cloud and fog computing. In the architecture, each function of an ICS is implemented as a microservice and its execution locations are determined by an algorithm minimizing the total usage fee for cloud and fog computing while satisfying the real-time processing requirement. The proposed architecture and placement algorithm are evaluated by simulation under the scenario of a virtual power plant that manages distributed energy resources. The simulation result shows the proposed placement algorithm suppresses VM usage fee while satisfying the requirement of a real-time control function.",,,,,,,,,,,,,,,,,,,,,,,,,,5G; Cloud; Fog; Industrial Control System; MEC,0,IC4,49
10.1007/978-3-030-71906-7_6,3035,Pontes F.A.; Curry E.,Cloud-Edge Microservice Architecture for DNN-based Distributed Multimedia Event Processing,,,,,,,,,,,,"The rise of Big Data, Internet of Multimedia Things (IoMT), and Deep Neural Network (DNN) enabled the growth of DNN-based Computer Vision solutions to Multimedia Event Processing (MEP) applications. When these are applied to a real-world scenario we notice the importance of having a system with a satisfactory speed that can fit in the limited resources of most IoMT devices. However, most solutions for distributed MEP are dependent on a Cloud architecture, which makes these applications migration to the Edge more challenging. As a response to this, we present a microservice architecture for DNN-based distributed MEP over heterogeneous Cloud-Edge environments. We describe our solution that allows for an easier deployment both on the Edge and on the Cloud. We show that choosing the proper tools for an Edge-Friendly solution can lead to 100 times less resource utilisation. Our preliminary investigation shows promising results, with a reduction in energy consumption by 8% with a minor drawback of 15% in throughput in the Edge and a negligible increase in energy consumption on the Cloud. © 2021, Springer Nature Switzerland AG.",,,,Cloud-Independent; Deep Neural Networks; Distributed computing; Edge-Friendly; Multimedia Event Processing,,,,,,,,"Pontes, Felipe Arruda (57225798449); Curry, Edward (12790805000)",57225798449; 12790805000,2021,Communications in Computer and Information Science,,65,72,7,6,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103490774&doi=10.1007%2f978-3-030-71906-7_6&partnerID=40&md5=94342a4db133029d4285350e04a992ee,Final,,Scopus,2-s2.0-85103490774,Cloud computing; Deep neural networks; Energy utilization; Green computing; Network architecture; Cloud architectures; Distributed multimedia; Edge-friendly; Event Processing; Real-world scenario; Reduction in energy consumption; Resource utilisation; Computer architecture,0,IC4,131
10.1007/978-3-030-84811-8_10,2912,Barri E.; Bouras C.; Gkamas A.; Karacapilidis N.; Karadimas D.; Kournetas G.; Panaretou Y.,A Novel Approach to Energy Management in Large Passenger and Cruise Ships: Integrating Simulation and Machine Learning Models,,,,,,,,,,,,"It is generally confessed that the energy consumption in large passenger and cruise ships cannot be predicted and that is a complex and also difficult issue. Intending to resolve it, this chapter reports on an unique technique that improves an innovative agent-based simulation model, which considers varied specifications such as the size, kind as well as behavior of the different categories of passengers onboard, the energy consuming centers as well as devices of a ship, spatial data concerning the layout of a ship’s decks, and also alternate ship procedures. Based on the suggested approach, results acquired from multiple simulation runs are then used up by appropriate Machine Learning algorithms to extract purposeful patterns in between the structure of passengers as well as the corresponding energy needs in a ship. By doing this, our approach is able to predict different energy consumption situations as well as activate significant insights concerning the total power management in a ship. On the whole, the proposed approach may handle the hidden unpredictability by blending the process-centric character of a simulation model and the data-centric character of Machine Learning algorithms. The chapter also describes the general architecture of the suggested remedy, which is based upon the microservices strategy. © 2022, The Author(s), under exclusive license to Springer Nature Switzerland AG.",,,,Agent-based simulation; Energy consumption; Large passenger and cruise ships; Machine learning algorithms; Microservices,,,,,,,,"Barri, Eirini (57216586843); Bouras, Christos (7102164662); Gkamas, Apostolos (6602710406); Karacapilidis, Nikos (7003900190); Karadimas, Dimitris (14632128100); Kournetas, Georgios (57212514284); Panaretou, Yiannis (57219221579)",57216586843; 7102164662; 6602710406; 7003900190; 14632128100; 57212514284; 57219221579,2022,Lecture Notes in Networks and Systems,,209,228,19,0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85113610426&doi=10.1007%2f978-3-030-84811-8_10&partnerID=40&md5=9119e90b80972b279448c00e5943c41b,Final,,Scopus,2-s2.0-85113610426,,0,IC4,136
10.1007/978-3-031-07472-1_6,36,"Vitali, Monica",Towards Greener Applications: Enabling Sustainable-aware Cloud Native Applications Design,"Advanced Information Systems Engineering: 34th International Conference, CAiSE 2022, Leuven, Belgium, June 6–10, 2022, Proceedings",978-3-031-07471-4,,https://doi.org/10.1007/978-3-031-07472-1_6,2022,,,,,Springer-Verlag,"Berlin, Heidelberg","Data centers energy demand is increasing. While a great deal of effort has been made to reduce the amount of CO2 generated by large cloud providers, too little has been done from the application perspective. We claim that application developers can impact the environmental footprint by enhancing the application design with additional features. Following the proposed Sustainable Application Design Process (SADP), the application design is enriched with information that can be leveraged by cloud providers to manage application execution in an energy-aware manner. This exploratory work aims to emphasize the awareness on the sustainability of applications by proposing a methodology for its evaluation. To this end, we first suggest possible actions to enrich the application design towards sustainability, and finally describe how this additional information can be leveraged in the application workflow. We discuss the feasibility of our methodology by referring to existing tools and technologies capable of supporting the design features proposed in a production environment.",,,,,,,,,,,,,,,,,,,,,,,,,,Cloud-native; Energy-efficiency; Sustainability-awareness; Sustainable applications; Workflow design,0,EC3 but maybe interesting,84
10.1007/978-3-031-18192-4_1,226,"Akasiadis, Charilaos; Iatrakis, Georgios; Spanoudakis, Nikolaos; Chalkiadakis, Georgios",An Open MAS/IoT-Based Architecture for&nbsp;Large-Scale V2G/G2V,"Advances in Practical Applications of Agents, Multi-Agent Systems, and Complex Systems Simulation. The PAAMS Collection: 20th International Conference, PAAMS 2022, L'Aquila, Italy, July 13–15, 2022, Proceedings",978-3-031-18191-7,,https://doi.org/10.1007/978-3-031-18192-4_1,2022,,,,,Springer-Verlag,"Berlin, Heidelberg","In this paper we put forward an open multi-agent systems (MAS) architecture for the important and challenging to engineer vehicle-to-grid (V2G) and grid-to-vehicle (G2V) energy transfer problem domains. To promote scalability, our solution is provided in the form of modular microservices that are interconnected using a multi-protocol Internet of Things (IoT) platform. On the one hand, the low-level modularity of Smart Grid services allows the seamless integration of different agent strategies, pricing mechanisms and algorithms; and on the other, the IoT-based implementation offers both direct applicability in real-world settings, as well as advanced analytics capabilities by enabling digital twins models for Smart Grid ecosystems. We describe our MAS/IoT-based architecture and present results from simulations that incorporate large numbers of heterogeneous Smart Grid agents, which might follow different strategies for their decision making tasks. Our framework enables the testing of various schemes in simulation mode, and can also be used as the basis for the implementation of real-world prototypes for the delivery of large-scale V2G/G2V services.",,,,,,,,,,,,,,,,,,,,,,,,,,Internet of things; Smart grid; Open multi-agent systems,,,302
10.1007/978-3-031-20984-0_38,45,"N. Toosi, Adel; Agarwal, Chayan; Mashayekhy, Lena; Moghaddam, Sara K.; Mahmud, Redowan; Tari, Zahir",GreenFog: A Framework for&nbsp;Sustainable Fog Computing,"Service-Oriented Computing: 20th International Conference, ICSOC 2022, Seville, Spain, November 29 – December 2, 2022, Proceedings",978-3-031-20983-3,,https://doi.org/10.1007/978-3-031-20984-0_38,2022,,,,,Springer-Verlag,"Berlin, Heidelberg","The alarming rate of increase in energy demand and carbon footprint of Fog environments has become a critical issue. It is, therefore, necessary to reduce the percentage of brown energy consumption in these systems and integrate renewable energy use into Fog. Renewables, however, are prone to availability fluctuations due to their variable and intermittent nature. In this paper, we propose a new Fog framework and design various optimization techniques, including linear programming optimization, linear regression estimation, and Multi-Armed Bandit (MAB) learning to optimize renewable energy use in the Fog based on a novel idea of load shaping with adaptive Quality of Service (QoS). The proposed framework, along with the optimization techniques, are tested on a real-world micro data center (Fog environment) powered by solar energy sources connected to multiple IoT devices. The results show that our proposed framework significantly reduces the difference between renewable energy generation and total energy consumption while efficiently adjusting the QoS of applications.",,,,,,,,,,,,,,,,,,,,,,,,,,,0,EC3,1912
10.1007/978-3-031-44836-2_3,8,"Nam, T. B.; Khiem, H. G.; Triet, M. N.; Hong, K. V.; Khoa, T. D.; Bao, Q. T.; Phuc, N. T.; Hieu, M. D.; Loc, V. C. P.; Quy, T. L.; Anh, N. T.; Hien, Q. N.; Bang, L. K.; Trong, D. P. N.; Ngan, N. T. K.; Son, H.; Luong, H. H.",SPaMeR: Securing Patient Medical Records in&nbsp;the&nbsp;Cloud - A Microservice and&nbsp;Brokerless Architecture Approach,"Web Services – ICWS 2023: 30th International Conference, Held as Part of the Services Conference Federation, SCF 2023, Honolulu, HI, USA, September 23–26, 2023, Proceedings",978-3-031-44835-5,,https://doi.org/10.1007/978-3-031-44836-2_3,2023,,,,,Springer-Verlag,"Berlin, Heidelberg","The expansion of Internet of Things (IoT) technologies has revolutionized various sectors, one of the most critical being healthcare. The effective management of Patient Medical Records (PMRs) is an area where IoT plays a significant role, and its integration with Cloud Computing offers an enormous opportunity to enhance data accessibility, efficiency, and cost-effectiveness. However, the challenge of securing PMRs in the cloud remains a key concern. This paper introduces SPaMeR, an innovative IoT platform based on microservice and brokerless architecture, tailored to address this challenge and the specific requirements of healthcare environments. SPaMeR platform incorporates and extends the core functionalities of the IoT platform designed in our previous work - data collection, device and user management, and remote device control - while specifically addressing six critical issues for healthcare data: a) secure and reliable transmission of medical data, b) energy efficiency for healthcare devices, c) high-speed and accurate data collection from medical devices, d) robust security mechanisms to protect sensitive patient information, e) scalability to accommodate the ever-growing number of patients and medical devices, and f) compliance with healthcare data regulations and standards. To demonstrate the effectiveness and feasibility of SPaMeR, we provide a comprehensive evaluation with two distinct healthcare scenarios. Our results indicate significant improvements in the areas of data security, energy efficiency, and system scalability compared to traditional healthcare platforms.",,,,,,,,,,,,,,,,,,,,,,,,,,microservice; micro-service; Internet of Things; Kafka; brokerless; gRPC; Medical record; RBAC; Single Sign-On,0,IC4,107
