"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Abstract","Author Keywords","Index Keywords","Document Type","Publication Stage","Open Access","Source","EID"
"Fereira R.J.; Ranaweera C.; Lee K.; Schneider J.-G.","Fereira, Rolden John (58174507100); Ranaweera, Chathurika (54788352500); Lee, Kevin (35762723800); Schneider, Jean-Guy (7404423027)","58174507100; 54788352500; 35762723800; 7404423027","Energy efficient resource management for real-time IoT applications","2025","Internet of Things (The Netherlands)","30","","101515","","","","0","10.1016/j.iot.2025.101515","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85216975149&doi=10.1016%2fj.iot.2025.101515&partnerID=40&md5=414bee764528de04dbd1e5fc2160d04a","The Internet of Things (IoT) has a large and rapidly expanding number of deployed devices, which leads to a significant global energy consumption footprint. Diverse IoT use cases, including smart cities, smart grids, Industry 5.0, eHealth, and autonomous vehicles, are contributing to this increase in energy consumption. Optimising energy utilisation is crucial to sustaining the exponential growth of IoT applications, which demand stringent delays and latencies measured in milliseconds and microseconds. There are additional complexities with the emergence of edge, fog, and cloud computing and the need to manage the energy consumption at all the layers. In this paper, mechanisms that can be used to minimise energy consumption within an edge–fog–cloud IoT architecture for real-time IoT applications are being proposed. We investigate mechanisms for optimal node selection, primarily focusing on minimising energy usage while adhering to the Quality of Service (QoS) requirements of various IoT requests. The mechanisms include genetic, modified genetic, and delay-aware algorithms tailored explicitly for real-time IoT applications. We evaluated the proposed mechanisms using a simulation of diverse network scenarios. The results presented in the paper provide insight into balancing processing time and energy efficiency, which are critical considerations in sustainably developing IoT applications in an edge–fog–cloud IoT architecture. © 2025 The Author(s)","Convergence; Edge computing; Fog computing; IoT; Node selection; Resource allocation","","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85216975149"
"Kirchoff D.F.; Meyer V.; Calheiros R.N.; De Rose C.A.F.","Kirchoff, Dionatrã F. (57205188934); Meyer, Vinícius (57209336662); Calheiros, Rodrigo N. (15769041200); De Rose, Cesar A. F. (14021022000)","57205188934; 57209336662; 15769041200; 14021022000","Evaluating machine learning prediction techniques and their impact on proactive resource provisioning for cloud environments","2024","Journal of Supercomputing","80","15","","21920","21951","31","1","10.1007/s11227-024-06303-6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85196259358&doi=10.1007%2fs11227-024-06303-6&partnerID=40&md5=1b3250d2bf954c22545856040f021980","Cloud computing has several benefits over traditional systems, such as scalability and high availability. However, these benefits, to be eventuated, require efforts in the area of resource provisioning and scaling, to match resources to current and future demand, and this is not always trivial to achieve. Since workload may fluctuate substantially in cloud environments, over-provisioning is a common practice to avoid abrupt quality of service (QoS) drops that may result in service level agreement (SLA) violations, but at the price of increased provisioning costs and energy consumption. Workload prediction is one of the strategies by which efficiency and operational cost of a clouds can be improved. Therefore, in this paper, we show the potential benefits of a proactive resource provisioning scheme augmented by three of the most promising machine learning prediction techniques in this context, namely ARIMA, MLP, and GRU, that are known to be able to cope with the dynamic behavior of our target applications. We analyze the trade-off between resource consumption and quality of service using SLA violations in web workloads, considering real case provisioning requirements and constraints, extensively simulating and analyzing the impact of prediction and scaling intervals, and publishing all used tools and datasets to allow reproducibility. Simulation experiments with a proactive approach are executed using real traces from NASA and Wikipedia workloads and achieved a reduction of 40% in SLA violations on average when compared to a reactive approach, while reducing the provisioned resources by almost 3%. © The Author(s), under exclusive licence to Springer Science+Business Media, LLC, part of Springer Nature 2024.","Cloud computing; Machine learning; Resource management; Workload prediction","Economic and social effects; Energy utilization; Forecasting; Machine learning; NASA; Quality of service; Cloud environments; Cloud-computing; Machine-learning; Prediction techniques; Quality-of-service; Resource management; Scalings; Servicelevel agreement (SLA); Traditional systems; Workload predictions; Cloud computing","Article","Final","","Scopus","2-s2.0-85196259358"
"Zhang L.; Li Y.; Pan Y.; Ding L.","Zhang, Limao (55271615200); Li, Yongsheng (57222116346); Pan, Yue (57205735838); Ding, Lieyun (8909046000)","55271615200; 57222116346; 57205735838; 8909046000","Advanced informatic technologies for intelligent construction: A review","2024","Engineering Applications of Artificial Intelligence","137","","109104","","","","30","10.1016/j.engappai.2024.109104","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85202348837&doi=10.1016%2fj.engappai.2024.109104&partnerID=40&md5=d22665c2cec0fbe7c7460bbe78b633b1","Since there is a growing interest in driving the digital transformation of the construction industry, the goal of this paper is to provide a full picture and understanding of the emerging research front on intelligent construction. Through the quantitative and qualitative analysis, relevant pieces of literature are thoroughly reviewed to extract useful knowledge to raise awareness of intelligent construction, resulting in the summary of research status and the determination of future needs. In light of the research findings, the rapid development of intelligent construction follows the strategies of standardization, digitization, intellectualization, collaboration, greenization, and customization, which mainly support “4S” technologies. The popular research topics covering intelligent engineering services for the project's full lifecycle (i.e., design, construction, operation, and maintenance) and even the city level have been deeply explored, which are proven to dramatically improve project efficiency, safety, and automation. Moreover, challenges exist in three potential paths for future research, including the digital twin-enabled engineering cloud platform, man-machine-environment interaction, great sustainability under carbon peaking and carbon neutrality goals. As for the practical value, a synthesized point of up-to-date reference is created to guide managers to promote intelligent construction in real-world engineering. © 2024 Elsevier Ltd","Construction automation and informatics; Critical review; Digital transformation; Intelligent construction","Construction automation; Construction automation and informatic; Critical review; Digital transformation; Digitisation; Informatics; Intelligent constructions; Quantitative and qualitative analysis; Research front; Research status","Article","Final","","Scopus","2-s2.0-85202348837"
"Fé I.; Nguyen T.A.; Mauro M.D.; Postiglione F.; Ramos A.; Soares A.; Choi E.; Min D.; Lee J.W.; Silva F.A.","Fé, Iure (57194271358); Nguyen, Tuan Anh (56433780500); Mauro, Mario Di (54396864500); Postiglione, Fabio (35238137800); Ramos, Alex (59175549600); Soares, André (57217263565); Choi, Eunmi (8969714200); Min, Dugki (7201670327); Lee, Jae Woo (57203409283); Silva, Francisco Airton (55817259800)","57194271358; 56433780500; 54396864500; 35238137800; 59175549600; 57217263565; 8969714200; 7201670327; 57203409283; 55817259800","Energy-aware dynamic response and efficient consolidation strategies for disaster survivability of cloud microservices architecture","2024","Computing","106","8","","2737","2783","46","2","10.1007/s00607-024-01305-x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85196171876&doi=10.1007%2fs00607-024-01305-x&partnerID=40&md5=b5b1962d30b5b522305b7d006316c20a","Computer system resilience refers to the ability of a computer system to continue functioning even in the face of unexpected events or disruptions. These disruptions can be caused by a variety of factors, such as hardware failures, software glitches, cyber attacks, or even natural disasters. Modern computational environments need applications that can recover quickly from major disruptions while also being environmentally sustainable. Balancing system resilience with energy efficiency is challenging, as efforts to improve one can harm the other. This paper presents a method to enhance disaster survivability in microservice architectures, particularly those using Kubernetes in cloud-based environments, focusing on optimizing electrical energy use. Aiming to save energy, our work adopt the consolidation strategy that means grouping multiple microservices on a single host. Our aproach uses a widely adopted analytical model, the Generalized Stochastic Petri Net (GSPN). GSPN are a powerful modeling technique that is widely used in various fields, including engineering, computer science, and operations research. One of the primary advantages of GSPN is its ability to model complex systems with a high degree of accuracy. Additionally, GSPN allows for the modeling of both logical and stochastic behavior, making it ideal for systems that involve a combination of both. Our GSPN models compute a number of metrics such as: recovery time, system availability, reliability, Mean Time to Failure, and the configuration of cloud-based microservices. We compared our approach against others focusing on survivability or efficiency. Our approach aligns with Recovery Time Objectives during sudden disasters and offers the fastest recovery, requiring 9% less warning time to fully recover in cases of disaster with alert when compared to strategies with similar electrical consumption. It also saves about 27% energy compared to low consolidation strategies and 5% against high consolidation under static conditions. © The Author(s), under exclusive licence to Springer-Verlag GmbH Austria, part of Springer Nature 2024.","68M14; 68M15; 68U01; Availability; Microservices; Petri nets; Reliability; Survivabiliry","Balancing; Energy efficiency; Network security; Petri nets; Power management; Recovery; Stochastic models; Stochastic systems; 68m14; 68m15; 68u01; Cloud-based; Energy aware; Generalized Stochastic Petri nets; Microservice; Survivabiliry; System resiliences; Unexpected events; Disasters","Article","Final","","Scopus","2-s2.0-85196171876"
"Arunachalam A.R.; Jusoh Y.Y.; Abdullah R.; Umarova Z.; Akhmetova S.; Iztayev Z.; Zhumatayev N.","Arunachalam, Aishwharya Raani (58416402700); Jusoh, Yusmadi Yah (36147542500); Abdullah, Rusli (24483156100); Umarova, Zhanat (54421451100); Akhmetova, Sabira (57219609293); Iztayev, Zhalgasbek (57210978230); Zhumatayev, Nurlybek (39862549300)","58416402700; 36147542500; 24483156100; 54421451100; 57219609293; 57210978230; 39862549300","Sustainability dimensions in enhancing the energy and resource efficiency of big data systems","2024","Bulletin of Electrical Engineering and Informatics","13","6","","4475","4487","12","0","10.11591/eei.v13i6.8052","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85212232367&doi=10.11591%2feei.v13i6.8052&partnerID=40&md5=d48f90f08a5d7424f7ec328ab6cfa516","Big data systems are essential for many businesses to grow, leveraging the vast amounts of data they generate and access. However, big data systems are plagued by significant sustainability challenges. Thus, this study aims to identify metrics that can measure the sustainability of big data systems. This research conducted a comprehensive literature review to identify five key sustainability dimensions: technical, environmental, economic, social, and individual. Then, a set of 29 metrics corresponding to these dimensions was developed. To ensure the relevance and applicability of these metrics, an expert validation session was carried out with five experts in the big data field. The validation process confirmed the appropriateness of our proposed metrics and modification take place. The findings of this study present 30 metrics upon experts’ validation that could enhance the sustainability of big data systems, offering meaningful insights for researchers and practitioners aiming to enhance resource and energy efficiency in this domain. © 2024, Institute of Advanced Engineering and Science. All rights reserved.","Big data; Big data systems; Energy efficiency; Resource efficiency; Sustainability dimensions; Sustainability of big data systems","","Article","Final","","Scopus","2-s2.0-85212232367"
"García-Gil S.; Ramos-Ramos D.; Berrocal J.; Murillo J.M.; Galán-Jiménez J.","García-Gil, Santiago (58915641800); Ramos-Ramos, Diego (59246875200); Berrocal, Javier (32667521200); Murillo, Juan Manuel (8687210000); Galán-Jiménez, Jaime (35112903800)","58915641800; 59246875200; 32667521200; 8687210000; 35112903800","Microservices migration: A pathway to improved energy efficiency in UAV networks","2025","Internet of Things (The Netherlands)","30","","101463","","","","0","10.1016/j.iot.2024.101463","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85214268619&doi=10.1016%2fj.iot.2024.101463&partnerID=40&md5=107bbb09a175161e54cf7f77128e30f3","The access to Internet and digital services play a key role in all aspects of development, from the economic to the socio-cultural dimensions, yet a substantial part of the world's population is deprived of this source of opportunities. Rural regions, characterized by having low population densities, suffer this lack of provision the most. On top of that, the remoteness and complicated orography of rural localities render traditional network infrastructure close to useless. To ensure that these localities benefit from access to digital services and to the Internet, we envision the use of swarms of Unmanned Aerial Vehicles (UAVs). Through computing enabled UAVs, the deployment of IoT applications decomposed into microservices that have an impact in the main socio-economic activities becomes a possibility. However, UAVs consume a lot of battery power, which complicates the feasibility of their use in real-world environments. To overcome this limitation, in this paper the energy optimal deployment and migration of microservices is studied, resulting in an Mix Integer Linear Programming (MILP) problem formulation. As a result, an optimal battery drain aware deployer and migrator of microservices in UAV-based networks is proposed. Our method has proved effective during the simulation, perfectly balancing the work load between UAVs, thus balancing also battery drain and maximizing fly time. © 2024 Elsevier B.V.","Energy efficiency; IoT; Microservices migration; UAV","","Article","Final","","Scopus","2-s2.0-85214268619"
"Andreou A.; Mavromoustakis C.X.; Markakis E.; Bourdena A.; Mastorakis G.","Andreou, Andreas (57208713892); Mavromoustakis, Constandinos X. (6602882785); Markakis, Evangelos (7006033121); Bourdena, Athina (36068862200); Mastorakis, George (13205568300)","57208713892; 6602882785; 7006033121; 36068862200; 13205568300","On the Synergy of IoMT Devices and Ceiling-Mounted Systems for Advanced Medical Data Analytics","2025","IEEE Access","","","","","","","0","10.1109/ACCESS.2025.3546495","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85219398739&doi=10.1109%2fACCESS.2025.3546495&partnerID=40&md5=cd50ea157b61077d6797b4163e7f1aaf","The article explores a novel framework that combines Ceiling-Mounted Systems (CMS) and Internet of Medical Things (IoMT) devices to address critical challenges in healthcare data management. By leveraging the capabilities of IoMT devices for real-time data collection, the proposed CMS's robust sensing, storage, and processing features support efficient resource allocation in hospital environments. The proposed approach achieves approximately 35% reduction in latency, a 25% improvement in energy efficiency, and a 40% decrease in Age of Information (AoI) compared to traditional frameworks. The multi-objective optimization problem minimizes energy consumption and latency while ensuring fairness and timely data collection, which is particularly critical in patient monitoring and time-sensitive diagnostics scenarios. Deep Reinforcement Learning (DRL) methods solve the resource allocation challenge under realistic constraints. Specifically, Twin-Delayed Deep Deterministic Policy Gradients (TD3) and Soft Actor-Critic (SAC) algorithms are adopted to optimize task scheduling and system decisions in dynamic, resource-constrained settings. Simulation results demonstrate that SAC achieves approximately 20% faster convergence and 15% better adaptability in dynamic hospital environments compared to TD3, making it more suitable for real-time healthcare applications. These findings underscore the benefits of integrating IoMT devices with the proposed CMS infrastructures to meet healthcare requirements, such as robust security, high reliability, and real-time responsiveness. © 2013 IEEE.","Age of Information; Deep reinforcement learning; Internet of Medical Things; Low latency communication; Resource allocation","Diagnosis; Hospital data processing; Network security; Reinforcement learning; Resource allocation; Age of information; Ceiling-mounted; Critical challenges; Data analytics; Hospital environment; Internet of medical thing; Low-latency communication; Medical data; Reinforcement learnings; Resources allocation; Deep reinforcement learning","Article","Article in press","","Scopus","2-s2.0-85219398739"
"Yu T.; Liang M.; Luo Q.; Lan C.; Wang Y.; Pan Z.","Yu, Tao (56454665900); Liang, Minhang (57222251791); Luo, Qingquan (57739449800); Lan, Chaofan (57211030361); Wang, Yipeng (58064050000); Pan, Zhenning (57195105695)","56454665900; 57222251791; 57739449800; 57211030361; 58064050000; 57195105695","Key Technologies and Perspectives of Specialized Sensing and Edge Intelligence for New Power Systems; [新型电力系统专用传感与边缘智能关键技术及其展望]","2024","Gaodianya Jishu/High Voltage Engineering","50","8","","3324","3338","14","0","10.13336/j.1003-6520.hve.20240676","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85202025131&doi=10.13336%2fj.1003-6520.hve.20240676&partnerID=40&md5=239bf5121c827a9c1ea00022b5e0b39e","The internet of things plays a significant role in real-time sensing, transparent perception and global regulation of power systems. With the continuous development of new power systems, the traditional device sensing and static independent intelligent systems are difficult to cope with problems such as the proliferation of varied business requirements, explosive growth of diversified data, poor communication reliability and low energy efficiency of sensors, and high cost of iteration algorithmic modelling. Therefore, it is anticipated that the new power systems, which is characterized by its specialized sensing and edge intelligence, will become the new paradigm, and the system is highly multifaceted and integrated, environmentally friendly and continuously reliable, with deep cloud-edge-end synergy. We constructed the system architecture of fusion and coherence of specialized sensing and edge intelligence on the basis of the fundamental connotation of these two elements in a new power system. Then, we emphatically discussed the key technologies, such as localized high-frequency new sensing technology, high-performance embedded chip technology with green energy supply, high-reliability flexible networking technology, lightweight model inference technology, cloud-edge collaborative resource sharing technology, and online learning continuous iteration technology. Finally, to provide a reference for the construction of new power systems, we put forward the future development directions of specialized sensing and edge intelligence in terms of data governance, privacy protection, software-defined hardware, business arithmetic microservices, multi-layer distributed ubiquitous intelligence, and power grand modelling. © 2024 Science Press. All rights reserved.","cloud-edge collaboration; edge intelligence; internet of things; new power systems; specialized sensing","Continuous time systems; Cloud-edge collaboration; Continuous development; Edge intelligence; Global regulation; Key technologies; New power system; Power; Real time sensing; Specialized sensing; Traditional devices","Article","Final","","Scopus","2-s2.0-85202025131"
"Rajagopal S.M.; M. S.; Buyya R.","Rajagopal, Shinu M. (58199758200); M., Supriya (57191565393); Buyya, Rajkumar (57194845546)","58199758200; 57191565393; 57194845546","Leveraging blockchain and federated learning in Edge-Fog-Cloud computing environments for intelligent decision-making with ECG data in IoT","2025","Journal of Network and Computer Applications","233","","104037","","","","2","10.1016/j.jnca.2024.104037","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85207594082&doi=10.1016%2fj.jnca.2024.104037&partnerID=40&md5=b7521e9ce67967c3b534d3a91d452635","Blockchain technology combined with Federated Learning (FL) offers a promising solution for enhancing privacy, security, and efficiency in medical IoT applications across edge, fog, and cloud computing environments. This approach enables multiple medical IoT devices at the network edge to collaboratively train a global machine learning model without sharing raw data, addressing privacy concerns associated with centralized data storage. This paper presents a blockchain and FL-based Smart Decision Making framework for ECG data in microservice-based IoT medical applications. Leveraging edge/fog computing for real-time critical applications, the framework implements a FL model across edge, fog, and cloud layers. Evaluation criteria including energy consumption, latency, execution time, cost, and network usage show that edge-based deployment outperforms fog and cloud, with significant advantages in energy consumption (0.1% vs. Fog, 0.9% vs. Cloud), network usage (1.1% vs. Fog, 31% vs. Cloud), cost (3% vs. Fog, 20% vs. Cloud), execution time (16% vs. Fog, 28% vs. Cloud), and latency (1% vs. Fog, 79% vs. Cloud). © 2024","Blockchain; Edge computing; Federated learning; Fog computing; Internet of Things","Fog computing; Block-chain; Cloud computing environments; ECG data; Edge computing; Energy-consumption; Intelligent decision-making; Machine learning models; Network edges; Network usage; Privacy concerns; Federated learning","Article","Final","","Scopus","2-s2.0-85207594082"
"Wang H.; Yu C.; Zheng J.; Jia Y.; Liu Z.; Yang K.","Wang, Haitao (59210583100); Yu, Caizhao (59210583000); Zheng, Jiarong (59302635400); Jia, Yihong (59302707200); Liu, Zhansheng (57191688199); Yang, Kai (59302439000)","59210583100; 59210583000; 59302635400; 59302707200; 57191688199; 59302439000","Digital-Twin-Based Operation and Maintenance Management Method for Large Underground Spaces","2024","Buildings","14","8","2577","","","","0","10.3390/buildings14082577","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85202444239&doi=10.3390%2fbuildings14082577&partnerID=40&md5=dfe9a7846ac48629c2988f267029ab74","Large underground spaces are complex and huge, with problems such as fragmented data that cannot be shared, outdated management methods, and high operation and maintenance costs. The digitization of building information and the use of digital twin technology can effectively improve the efficiency of building operation and maintenance. Using information technology to build a digital-twin-based operation and maintenance management system, the huge and discrete data and equipment system information are effectively integrated and explored for application. First, we analyze the shortcomings of the traditional delivery and operation and maintenance methods and introduce the necessity of a new method of operation and maintenance management based on digital twin; then, we divide the operation and maintenance information of the construction project into four major categories of spatial information and eight major categories of equipment information and complete the coding work, and the categorized data serve as the data basis for operation and maintenance; second, we develop a digital twin operation and maintenance management platform based on the operation and maintenance data of BIM; finally, we carry out case validation for the three major constructions. Finally, case validation is carried out for three major buildings and a large underground space and the practical application shows that the operation and maintenance management system based on digital twin technology provides technical guarantee for decentralized information and system integration management and the information management quality and efficiency of the operation and maintenance process are effectively improved. Through the practice of summarizing the experience, which is worth learning, we aim to create a large underground space operation and maintenance management method to provide a reference. © 2024 by the authors.","Building Information Modeling (BIM); data driven; digital delivery; operations and maintenance management; smart buildings","Information management; Mortar; Project management; Underground equipment; Building information modeling; Building Information Modelling; Data driven; Digital delivery; Maintenance management; Management method; Operation management; Operation management system; Operations and maintenance; Underground space; Efficiency","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85202444239"
