Decision,Sum,round_1_result (eoan),round_1_notes,round_2_result (ai),round_2_notes,round_3_result (ai),round_3_notes,round_2_full_output,round_3_full_output,record_id,DOI,Author,Title,Publication Title,ISBN,ISSN,Url,Date,Series,Series Number,Series Text,Series Title,Publisher,Place,Abstract,ISBNs,Funding Information,PDF Link,Author Keywords,Mesh_Terms,Article Citation Count,Patent Citation Count,Reference Count,License,Issue Date,Meeting Date,Author full names,Author(s) ID,Year,Source title,Art. No.,Page start,Page end,Page count,Cited by,Link,Publication Stage,Open Access,Source,EID,Keywords,exported_notes_1,asreview_ranking,asreview_prior
Included,3,1,,1,IC5,1,IC5,INCLUDE - IC5,INCLUDE - IC5,95,10.1109/ICSCC62041.2024.10690844,G. H. Prathama; P. E. G. Gunawan; A. W. O. Gama,Green Computing Implementation for Indonesian Higher Education Adopting Serverless Microservices Architecture,2024 10th International Conference on Smart Computing and Communication (ICSCC),,,,01-Oct-24,,,,,IEEE,,"Sustainability poses a significant challenge within the realm of global information technology, especially within the resource-intensive settings of higher education. The present research delves into the application of serverless microservices architecture in universities in Indonesia as a prospective solution for eco-friendly computing. Through the utilization of cutting-edge serverless technologies, a prototype representing the IT framework of an Indonesian institution of higher education was formulated and assessed. The outcomes of this investigation reveal that the adoption of serverless microservices not only improves operational effectiveness but also brings about a notable reduction in energy consumption and carbon footprints. These findings offer valuable perspectives for academic leaders and IT experts who aspire to shift towards more sustainable IT infrastructures.",979-8-3503-6310-4,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10690844,Cost Efficiency;cloud computing;private universities;serverless computation;microservices architecture;green computing,,,,17,IEEE,,,,,,,,,,,,,,,,,Energy consumption;Scalability;Education;Microservice architectures;Prototypes;Computer architecture;Computational efficiency;Resource management;Sustainable development;Information technology,,1,1
Included,3,1,,1,IC5,1,IC5,INCLUDE - IC5,INCLUDE - IC5,81,10.1109/IC2E61754.2024.00021,A. Mokhtari; B. Jonglez; T. Ledoux,Towards Digital Sustainability: Involving Cloud Users as Key Players,2024 IEEE International Conference on Cloud Engineering (IC2E),,2694-0825,,14-Nov-24,,,,,IEEE,,"Due to the rapid growth of Cloud services, data centers have become major energy consumers, resulting in significant CO2 emissions. Several infrastructure-focused strategies, such as resource consolidation, have been used to reduce the carbon footprint of Cloud infrastructure. However, end-users are often left out of the picture. Since they are the primary target of Cloud applications, it would be beneficial to actively involve them in reducing the carbon footprint of Cloud applications. In this paper, we offer end-users a way to influence the carbon footprint of Cloud applications they use. To this end, we ask end-users to select a high-level mode to control the carbon footprint of a Cloud application. We then design a dynamic adaptation algorithm that determines an appropriate configuration for the application for each request, based on the end-user mode and on the carbon intensity of the infrastructure energy sources. We implement and evaluate our system on a simple image-resizing application. We run experiments on SeDuCe, a Cloud infrastructure testbed partially powered by solar panels. Our results show that we save energy consumption by up to $84 \%$ when all end-users agree to degrade the quality of the application’s output, and we provide a good quality-energy trade-off when end-users make heterogeneous choices. In addition, we are able to improve quality by leveraging the available green energy budget.",979-8-3315-2869-0,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10749770,cloud computing;human-centered computing;digital sustainability;carbon footprint;green energy,,,,21,IEEE,,,,,,,,,,,,,,,,,Green energy;Energy consumption;Data centers;Protocols;Heuristic algorithms;Calibration;Solar panels;Proposals;Carbon;Carbon footprint,IC4,2,1
Included,3,1,IC6,1,IC5,1,IC5,INCLUDE - IC5,INCLUDE - IC5,80,10.1109/IC2E59103.2023.00015,R. Cordingly; J. Kaur; D. Dwivedi; W. Lloyd,"Towards Serverless Sky Computing: An Investigation on Global Workload Distribution to Mitigate Carbon Intensity, Network Latency, and Cost",2023 IEEE International Conference on Cloud Engineering (IC2E),,2694-0825,,06-Nov-23,,,,,IEEE,,"The high demand for energy consumption and the resulting carbon footprint of the cloud pose significant sustainability challenges, as cloud data centers consume vast amounts of energy. The emergence of serverless cloud computing platforms has opened up new avenues for more sustainable cloud computing. Serverless Function-as-a-Service (FaaS) cloud computing platforms facilitate deploying applications as decoupled microservices to leverage automatic rapid scaling, high availability, fault tolerance, and on-demand pricing. The absence of always-on hosting costs associated with virtual machines enables serverless functions to be deployed with many different function configurations and cloud regions to achieve high performance, low network latency, and reduced costs. In this paper, we investigate the utility of a global sky computing platform where serverless resources are aggregated between up to 19 distinct cloud regions. We prototype a serverless load distribution system to distribute client requests across serverless aggregations to minimize performance objectives, including network latency, runtime, hosting costs, and carbon footprint. To evaluate our serverless distribution system's ability to meet performance objectives, we continuously executed large experiments across 19 regions around the world from November 2022 through March 2023. Our serverless load distribution approach using aggregated resources reduced the carbon intensity of a globally distributed serverless application by up to 99.8%, network latency by 65%, or hosting costs by 58% by optimizing function routing to deployments with optimal hardware configurations.",979-8-3503-4394-6,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10305816,Sky Computing;Serverless Computing;Function-as-a-Service;Green Computing,,6,,26,IEEE,,,,,,,,,,,,,,,,,Cloud computing;Costs;Runtime;Prototypes;Pricing;Routing;Virtual machining,IC4,3,0
Included,3,1,IC6,1,IC5,1,IC5,INCLUDE - IC5,INCLUDE - IC5,111,10.1109/ISCC61673.2024.10733735,C. Courageux-Sudan; A. -C. Orgerie; M. Quinson,"Studying the end-to-end performance, energy consumption and carbon footprint of fog applications",2024 IEEE Symposium on Computers and Communications (ISCC),,2642-7389,,31-Oct-24,,,,,IEEE,,"The deployment of applications closer to end-users through fog computing has shown promise in improving network communication times and reducing contention. However, the use of fog applications such as microservices necessitates intricate network interactions among heterogeneous devices. Consequently, understanding the impact of different application and infrastructure parameters on performance becomes crucial. Current literature either offers end-to-end models that lack granularity and validation or fine-grained models that only consider a portion of the infrastructure. Our research first compares experimentally the accuracy of the existing integrated frameworks. We then combine one of these tools with a collection of validated models to obtain comprehensive metrics regarding microservice applications operating in the fog. Through a use-case, we demonstrate the effectiveness of our approach in investigating fog environments, from examining application latencies to greenhouse gas emissions.",979-8-3503-5423-2,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10733735,Modeling and simulation;Fog-computing;Microservice;Performance evaluation;Energy consumption,,,,35,IEEE,,,,,,,,,,,,,,,,,Performance evaluation;Computers;Energy consumption;Accuracy;Computational modeling;Microservice architectures;Greenhouse gases;Carbon footprint;Edge computing,IC4,4,0
Included,3,1,IC6,1,IC5,1,IC5,INCLUDE - IC5,INCLUDE - IC5,146,10.1109/TITS.2023.3274307,L. Wang; X. Deng; J. Gui; X. Chen; S. Wan,Microservice-Oriented Service Placement for Mobile Edge Computing in Sustainable Internet of Vehicles,IEEE Transactions on Intelligent Transportation Systems,,1558-0016,,17-May-23,,,,,IEEE,,"The integration of Mobile Edge Computing (MEC) and microservice architecture drives the implementation of the sustainable Internet of Vehicles (IoV). The microservice architecture enables the decomposition of a service into multiple independent, fine-grained microservices working independently. With MEC, microservices can be placed on Edge Service Providers (ESPs) dynamically, responding quickly and reducing service latency and resource consumption. However, the burgeoning of IoV leads to high computation and resource overheads, making service resource requirements an imminent issue. What’s more, due to the limited computation power of ESPs, they can only host a few services. Therefore, ESPs should judiciously decide which services to host. In this paper, we propose a Microservice-oriented Service Placement (MOSP) mechanism for MEC-enabled IoV to shorten service latency, reduce high resource consumption levels and guarantee long-term sustainability. Specifically, we formulate the service placement as an integer linear programming program, where service placement decisions are collaboratively optimized among ESPs, aiming to address spatial demand coupling, service heterogeneity, and decentralized coordination in MEC systems. MOSP comprises an upper layer to map the service requests to ESPs and a lower layer to adjust the service placement of ESPs. Evaluation results show that the microservice-oriented service deployment mechanism offers dramatic improvements in terms of resource savings, latency reduction, and service speed.",,"National Natural Science Foundation of China Projects(grant numbers:62172441,62172449,61772553); Local Science and Technology Developing Foundation Guided by the Central Government through the Free Exploration Project 2021Szvup166;; Postgraduate Research and Innovation Project of Hunan Province(grant numbers:CX20200211); Fundamental Research Funds for the Central Universities of Central South University(grant numbers:2020zzts138); Opening Project of State Key Laboratory of Nickel and Cobalt Resources Comprehensive Utilization(grant numbers:GZSYS-KY-2022-018,GZSYS-KY-2022-024); Key Project of Shenzhen City Special Fund for Fundamental Research(grant numbers:202208183000751); Hunan Provincial Department of Transportation Foundation(grant numbers:201929); ",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10128791,Mobile edge computing;microservice;Internet of Vehicles;service placement,,35,,25,IEEE,,,,,,,,,,,,,,,,,Microservice architectures;Servers;Cloud computing;Quality of service;Costs;Multi-access edge computing;Memory management,IC4,5,0
Included,3,1,IC5,1,IC5,1,IC5,INCLUDE - IC5,INCLUDE - IC5,156,10.1109/WETICE64632.2024.00024,J. A. Larracoechea; S. Ilarri; P. Roose,RADIANCE: A CASE Tool For Green Software Design,2024 32nd International Conference on Enabling Technologies: Infrastructure for Collaborative Enterprises (WETICE),,,,14-Feb-25,,,,,IEEE,,"Regardless of the improvements in the efficiency of energy consumption of information and communication technology, energy consumption will forever be a requisite for software execution. Consequently, researchers have promoted the development of green and sustainable software with new development methods and tools. These, however, have been adopted with limited success due to technicalities and specific language/platform requirements. In this paper, we present RADIANCE: a web app for designing greener software with a model-driven approach based on the Behavior-Based Consumption Profiles (BBCP) external Domain-Specific Language (DSL). RADIANCE, in contrast to other tools, embraces users with different levels of knowledge about green software and software architecture. Moreover, RADIANCE assesses and rates, reports, and provides advice on the energy-consuming patterns of the software models created by the user, assisting them in identifying possible design changes that result in greener software designs from the initial stages of software development.",979-8-3315-0587-5,Gobierno de Aragón;,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10880285,Software design;Green software;Sustainable software;Energy consumption;Software development;Model Driven Software Development,,,,32,IEEE,,,,,,,,,,,,,,,,,Energy consumption;Software design;Computer aided software engineering;Software architecture;Green products;Software;Information and communication technology;DSL;Software development management;Domain specific languages,EC3 buyt maybe useful,6,0
Included,3,1,IC5,1,IC5,1,IC5,INCLUDE - IC5,INCLUDE - IC5,200,10.3390/app14177456,Larracoechea J.A.; Ilarri S.; Roose P.,A Proposal of Behavior-Based Consumption Profiles for Green Software Design,,,,,,,,,,,,"Despite the increase in the efficiency of energy consumption in information and communication technology, software execution and its constraints are responsible for how energy is consumed in hardware hosts. Consequently, researchers have promoted the development of sustainable software with new development methods and tools to lessen its hardware demands. However, the approaches developed so far lack cohesiveness along the stages of the software development life cycle (SDLC) and exist outside of a holistic method for green software development (GSD). In addition, there is a severe lack of approaches that target the analysis and design stages of the SDLC, leaving software architects and designers unsupported. In this article, we introduce our behavior-based consumption profile (BBCP) external Domain-Specific Language (DSL), aimed at assisting software architects and designers in modeling the behavior of software. The models generated with our external DSL contain multiple sets of properties that characterize features of the software’s behavior. In contrast to other modeling languages, our BBCP emphasizes how time and probability are involved in software execution and its evolution over time, helping its users to gather an expectation of software usage and hardware consumption from the initial stages of software development. To illustrate the feasibility and benefits of our proposal, we conclude with an analysis of the model of a software service created using the BBCP, which is simulated using Insight Maker to obtain an estimation of hardware consumption and later translated to energy consumption. © 2024 by the authors.",,,,behavior with software; green software; SOA; software behavior; software engineering; software profiling,,,,,,,,"Larracoechea, Jorge Andrés (57221960959); Ilarri, Sergio (7801631434); Roose, Philippe (55843683500)",57221960959; 7801631434; 55843683500,2024,Applied Sciences (Switzerland),7456,,,,1,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85203852902&doi=10.3390%2fapp14177456&partnerID=40&md5=764572cb721393b46c5d6d5cbbf1be5c,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-85203852902,Program translators; Software design; Behavior with software; Behavior-based; Energy-consumption; Green software; SOA; Software architects; Software behavior; Software development life-cycle; Software execution; Software profiling; Green development,EC3 but may be useful,7,0
Included,3,1,IC6,1,IC6,1,IC6,INCLUDE - IC6,INCLUDE - IC6,40,10.1109/ACCESS.2021.3075973,E. Ahvar; S. Ahvar; Z. Á. Mann; N. Crespi; R. Glitho; J. Garcia-Alfaro,DECA: A Dynamic Energy Cost and Carbon Emission-Efficient Application Placement Method for Edge Clouds,IEEE Access,,2169-3536,,27-Apr-21,,,,,IEEE,,"As an increasing amount of data processing is done at the network edge, high energy costs and carbon emission of Edge Clouds (ECs) are becoming significant challenges. The placement of application components (e.g., in the form of containerized microservices) on ECs has an important effect on the energy consumption of ECs, impacting both energy costs and carbon emissions. Due to the geographic distribution of ECs, there is a variety of resources, energy prices and carbon emission rates to consider, which makes optimizing the placement of applications for cost and carbon efficiency even more challenging than in centralized clouds. This paper presents a Dynamic Energy cost and Carbon emission-efficient Application placement method (DECA) for ECs. DECA addresses both the initial placement of applications on ECs and the re-optimization of the placement using migrations. DECA considers geographically varying energy prices and carbon emission rates as well as optimizing the usage of both network and computing resources at the same time. By combining a prediction-based A* algorithm with a Fuzzy Sets technique, DECA makes intelligent decisions to optimize energy cost and carbon emissions. Simulation results show the ability of DECA in providing a tradeoff and optimizing energy cost and carbon emission at the same time.",,European Union’s Horizon 2020 Research and Innovation Programme (FogProtect)(grant numbers:871525);,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9416667,Edge cloud;energy consumption;energy costs;green computing;carbon emission;application placement,,22,,54,CCBY,,,,,,,,,,,,,,,,,Carbon dioxide;Energy consumption;Internet of Things;Cloud computing;Optimization;Resource management;Time factors,IC4,9,0
Included,3,1,IC5,1,IC5,1,IC5,INCLUDE - IC5,INCLUDE - IC5,213,10.3390/su16135738,Soongpol B.; Netinant P.; Rukhiran M.,Practical Sustainable Software Development in Architectural Flexibility for Energy Efficiency Using the Extended Agile Framework,,,,,,,,,,,,"Many regular business operations are transforming into digital services, increasing advanced multi-platforms, rapid operational alignment, flexibility, and environmental impact through energy consumption, hardware waste, and technology investments. Flexible and sustainable system development models emphasizing energy efficiency can help innovate software development as digital servicing applications shift. This research is motivated by the need to improve energy consumption in early software design and development due to rising technological efficiency and sustainability demands. Although effective in iterative development and stakeholder engagement, traditional Agile methodologies often struggle with long-term sustainability and energy efficiency. Extended Agile, combining Agile, layered architecture, and aspect-oriented frameworks (ALAI), promises to improve system modularity, flexibility, maintainability, and sustainability. This study’s findings are not just theoretical, but also practically relevant, as they explore the energy efficiency of ALAI software development methodologies, using graduate admission information system services (GAISS) as an example. GAISS is a complex system that handles the entire process of graduate admissions, from application submission to final decision. The study quantifies the energy usage of a student-list webpage by analyzing Microsoft IIS server logs from February 2022 to May 2024. Directly applicable findings show that the GAISS based on the ALAI framework reduces energy consumption by 10.7914% compared to traditional Agile software developments. ALAI used 892.80 kWh versus Agile’s 1000.80 kWh during operations, saving energy. These findings demonstrate the benefits of integrating aspect-oriented frameworks and layering approaches into Agile methodologies, contributing to sustainable software development discourse. The study emphasizes the importance of energy-efficient frameworks such as ALAI to reduce software systems’ environmental impact and promote software development sustainability. The findings of this study, with their practical relevance, assist software developers and organizations in choosing software design and development methods that maximize operational efficiency and environmental sustainability. © 2024 by the authors.",,,,agile; aspect-oriented; energy efficiency; flexibility; framework; layering; software development; sustainability,,,,,,,,"Soongpol, Buerian (58766517600); Netinant, Paniti (6507249299); Rukhiran, Meennapa (57201645315)",58766517600; 6507249299; 57201645315,2024,Sustainability (Switzerland),5738,,,,0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85198449600&doi=10.3390%2fsu16135738&partnerID=40&md5=1ad850b0d978a007606fa8eb5da24200,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-85198449600,business development; energy efficiency; environmental impact; information system; software; stakeholder; sustainability; sustainable development,EC3,10,0
Included,3,1,Potentially EC4 but could be worth investigating,1,IC5,1,IC5,INCLUDE - IC5,INCLUDE - IC5,90,10.1109/ICPADS56603.2022.00082,C. Song; F. Jiang; X. Liang; N. Ahuja; M. J. Kumar,Service Level Objective Adaptive Energy Efficiency Management,2022 IEEE 28th International Conference on Parallel and Distributed Systems (ICPADS),,2690-5965,,27-Mar-23,,,,,IEEE,,"Cloud applications are transforming to microservice based deployment. Microservice comes with many advantages-scalability, agility, availability – and it suits the complicated cloud applications. For microservice deployment, service quality metrics play important role to ensure reliable user experiences for those applications built upon many small services, and the service level objective (SLO) is adopted to govern resource provision for optimal operation cost. Amid growing awareness on data center carbon emission, more organizations are paying attention to energy-efficient practices in cloud deployment to reduce energy consumption and operational carbon footprint. Modern processors provide fine-grained power scaling capabilities, e.g., Intel Xeon PCPS (PerCore P-States), this paper presented a dynamic energy efficiency management framework to adaptively scale processor core frequency as well as implicated energy consumption in accordance with service quality requirements. In this paper, we discussed hurdles and solutions for applying platform energy intelligence to microservices that are often with intrinsic platform-agnostic. The experiments proved the proposed method can effectively reduce energy consumption with competitive cost benefits without compromising service quality goals.",978-1-6654-7315-6,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10077892,Microservices;Service Mesh;Per-Core P-States;Service Level Objective (SLO);Service Level Indicator (SLI);Energy Efficiency;Carbon Reduction;Sustainability;Adaptive Control;Core Frequency Scaling,,,,12,IEEE,,,,,,,,,,,,,,,,,Energy consumption;Program processors;Costs;Power system management;Memory management;Microservice architectures;Tail,IC4,11,0
